,item_id,rating,datetime,cate_name
23424,B00004RBDZ,5.0,2009-05-22,Traps
32160,B00004TBKG,5.0,2009-05-25,Traps
137462,B000A0VOD2,5.0,2013-02-26,Deer Off
201089,B000FZYW36,5.0,2010-07-15,Hooks & Hangers
242987,B000KL3GEQ,5.0,2013-07-12,Planters
247174,B000LNWIVU,1.0,2013-04-08,Traps
259624,B000NFGB64,5.0,2010-09-15,Flowers
259679,B000NGX5UI,5.0,2013-05-09,Flowers
273424,B000P3AQAG,5.0,2009-06-13,Cacti & Succulents
358951,B0012YKCOM,5.0,2010-09-09,Flowers
363575,B0013KBW3A,5.0,2013-04-28,Flowers
363938,B0013KFKBU,5.0,2013-04-28,Flowers
415326,B001E2MNV2,5.0,2010-03-01,Feeders
415342,B001E2SAE6,1.0,2010-10-29,Feeders
415343,B001E2UA44,3.0,2011-02-08,Feeders
470147,B0020MKR8G,5.0,2010-01-18,Feeders
470168,B0020MKRFY,5.0,2010-01-14,Feeders
507143,B002ITKYRK,5.0,2011-04-27,Hand Tools
519899,B002O8ERV4,3.0,2010-08-02,Flowers
522955,B002QMENVC,5.0,2013-04-26,Flowers
555238,B0030697TQ,5.0,2013-04-30,Ant
684410,B004HB4I8I,5.0,2013-08-24,Flowers
710196,B004PEIVUS,5.0,2013-03-07,Stands
773478,B005K5XTD0,1.0,2014-06-25,Lures
936217,B00C3YIYAO,5.0,2013-10-26,Pool Enzymes
979680,B00HD55RA8,5.0,2014-04-03,Garden Hoses
